sender_id,sequence,rtt,send_time,send_time,ack_time,response
1,427,0.075,1717683626.563,1717683626.638,1,427,1
1,428,0.038,1717683627.640,1717683627.678,1,428,1
1,429,0.037,1717683628.679,1717683628.716,1,429,1
1,430,0.033,1717683629.717,1717683629.750,1,430,1
1,431,2.084,1717683630.751,1717683632.834,1,431,1
1,432,0.050,1717683633.835,1717683633.885,1,432,1
1,433,0.034,1717683634.886,1717683634.920,1,433,1
1,434,0.037,1717683635.921,1717683635.959,1,434,1
1,435,0.472,1717683636.959,1717683637.431,1,435,1
1,436,0.037,1717683638.433,1717683638.470,1,436,1
1,437,0.259,1717683639.471,1717683639.729,1,437,1
1,438,0.049,1717683640.730,1717683640.780,1,438,1
1,439,0.264,1717683641.781,1717683642.045,1,439,1
1,440,0.280,1717683643.046,1717683643.326,1,440,1
1,441,1.049,1717683644.328,1717683645.377,1,441,1
1,442,1.042,1717683646.378,1717683647.420,1,442,1
1,443,0.034,1717683648.421,1717683648.456,1,443,1
1,444,0.054,1717683649.456,1717683649.511,1,444,1
1,445,0.112,1717683650.512,1717683650.623,1,445,1
1,446,0.063,1717683651.624,1717683651.687,1,446,1
1,447,0.233,1717683652.689,1717683652.921,1,447,1
1,448,0.253,1717683653.922,1717683654.175,1,448,1
1,449,0.037,1717683655.176,1717683655.213,1,449,1
1,450,0.036,1717683656.214,1717683656.250,1,450,1
1,451,14.398,1717683657.251,1717683671.649,1,451,1
1,452,2.284,1717683672.650,1717683674.935,1,452,1
1,453,1.055,1717683675.935,1717683676.991,1,453,1
1,454,0.038,1717683677.992,1717683678.030,1,454,1
1,455,0.037,1717683679.031,1717683679.068,1,455,1
1,456,0.493,1717683680.069,1717683680.562,1,456,1
1,457,1.338,1717683681.563,1717683682.901,1,457,1
1,458,0.043,1717683683.902,1717683683.945,1,458,1
1,459,1.084,1717683684.946,1717683686.030,1,459,1
1,460,0.062,1717683687.032,1717683687.093,1,460,1
1,461,0.049,1717683688.095,1717683688.143,1,461,1
1,462,0.062,1717683689.144,1717683689.207,1,462,1
1,463,0.089,1717683690.208,1717683690.297,1,463,1
1,464,0.272,1717683691.298,1717683691.570,1,464,1
1,465,0.034,1717683692.571,1717683692.605,1,465,1
1,466,0.338,1717683693.606,1717683693.944,1,466,1
1,467,0.036,1717683694.945,1717683694.981,1,467,1
1,468,0.272,1717683695.981,1717683696.254,1,468,1
1,469,0.054,1717683697.254,1717683697.308,1,469,1
1,470,0.036,1717683698.309,1717683698.345,1,470,1
1,471,0.047,1717683699.346,1717683699.393,1,471,1
1,472,0.134,1717683700.395,1717683700.529,1,472,1
1,473,0.036,1717683701.530,1717683701.567,1,473,1
1,474,0.038,1717683702.629,1717683702.667,1,474,1
1,475,1.074,1717683703.668,1717683704.742,1,475,1
1,476,0.037,1717683705.743,1717683705.780,1,476,1
1,477,0.036,1717683706.781,1717683706.817,1,477,1
1,478,0.041,1717683707.818,1717683707.859,1,478,1
1,479,0.268,1717683708.860,1717683709.128,1,479,1
1,480,0.072,1717683710.129,1717683710.202,1,480,1
1,481,0.739,1717683711.203,1717683711.942,1,481,1
1,482,0.037,1717683712.943,1717683712.980,1,482,1
1,483,0.034,1717683713.981,1717683714.016,1,483,1
1,484,0.038,1717683715.017,1717683715.055,1,484,1
1,485,0.036,1717683716.056,1717683716.092,1,485,1
1,486,0.052,1717683717.093,1717683717.145,1,486,1
1,487,0.029,1717683718.146,1717683718.175,1,487,1
1,488,0.286,1717683719.176,1717683719.462,1,488,1
1,489,0.041,1717683720.463,1717683720.504,1,489,1
1,490,0.073,1717683721.505,1717683721.578,1,490,1
1,491,0.035,1717683722.579,1717683722.614,1,491,1
1,492,0.053,1717683723.615,1717683723.669,1,492,1
1,493,0.043,1717683724.669,1717683724.713,1,493,1
1,494,1.064,1717683725.714,1717683726.779,1,494,1
1,495,0.057,1717683727.780,1717683727.837,1,495,1
