delay,send_time,receive_time,data_length
0.018,1715860007.906,1715860007.924,1000
0.018,1715860008.945,1715860008.963,1000
0.018,1715860009.981,1715860009.999,1000
0.019,1715860011.273,1715860011.292,1000
0.014,1715860012.312,1715860012.326,1000
1.028,1715860013.345,1715860014.373,1000
0.018,1715860015.401,1715860015.419,1000
0.016,1715860016.438,1715860016.454,1000
0.017,1715860017.476,1715860017.493,1000
0.015,1715860018.738,1715860018.753,1000
0.017,1715860020.002,1715860020.019,1000
0.019,1715860021.263,1715860021.282,1000
0.016,1715860022.302,1715860022.318,1000
0.037,1715860023.339,1715860023.376,1000
1.049,1715860024.395,1715860025.444,1000
0.016,1715860026.463,1715860026.479,1000
0.018,1715860027.502,1715860027.520,1000
0.019,1715860028.758,1715860028.777,1000
2.172,1715860029.796,1715860031.968,1000
0.016,1715860033.464,1715860033.480,1000
0.022,1715860034.500,1715860034.522,1000
0.018,1715860035.540,1715860035.558,1000
0.029,1715860036.577,1715860036.606,1000
0.016,1715860037.626,1715860037.642,1000
0.019,1715860038.664,1715860038.683,1000
1.038,1715860039.703,1715860040.741,1000
0.019,1715860041.761,1715860041.780,1000
0.018,1715860042.798,1715860042.816,1000
0.026,1715860043.836,1715860043.862,1000
1.043,1715860044.882,1715860045.925,1000
0.018,1715860047.169,1715860047.187,1000
0.020,1715860048.207,1715860048.227,1000
0.017,1715860049.248,1715860049.265,1000
0.018,1715860050.285,1715860050.303,1000
0.014,1715860051.323,1715860051.337,1000
0.023,1715860052.585,1715860052.608,1000
0.018,1715860053.627,1715860053.645,1000
0.020,1715860054.665,1715860054.685,1000
1.037,1715860055.927,1715860056.964,1000
0.018,1715860057.984,1715860058.002,1000
0.016,1715860059.022,1715860059.038,1000
0.017,1715860060.057,1715860060.074,1000
1.019,1715860061.096,1715860062.115,1000
0.018,1715860063.137,1715860063.155,1000
0.017,1715860064.405,1715860064.422,1000
0.020,1715860065.442,1715860065.462,1000
0.017,1715860066.482,1715860066.499,1000
1.037,1715860067.751,1715860068.788,1000
0.022,1715860069.809,1715860069.831,1000
0.019,1715860070.853,1715860070.872,1000
0.017,1715860071.907,1715860071.924,1000
0.022,1715860072.944,1715860072.966,1000
0.022,1715860074.428,1715860074.450,1000
1.049,1715860075.470,1715860076.519,1000
