"No.","Time","Source","Destination","Protocol","Length","Info"
"10132","1086.345889264","192.168.110.71","192.168.110.183","Modbus/TCP","78","Response: Trans: 45158; Unit:   1, Func:  16: Write Multiple Registers"
"10133","1086.345968691","192.168.110.183","192.168.110.71","TCP","66","33142  >  502 [ACK] Seq=30 Ack=13 Win=32128 Len=0 TSval=562608497 TSecr=4165311485"
"10134","1087.347425864","192.168.110.183","192.168.110.71","TCP","66","33142  >  502 [FIN, ACK] Seq=30 Ack=13 Win=32128 Len=0 TSval=562609498 TSecr=4165311485"
"10135","1087.348110190","192.168.110.183","192.168.110.71","TCP","74","[TCP Port numbers reused] 33158  >  502 [SYN] Seq=0 Win=32120 Len=0 MSS=1460 SACK_PERM TSval=562609499 TSecr=0 WS=128"
"10136","1087.360433424","192.168.110.71","192.168.110.183","TCP","74","502  >  33158 [SYN, ACK] Seq=0 Ack=1 Win=31856 Len=0 MSS=1460 SACK_PERM TSval=4165312499 TSecr=562609499 WS=128"
"10137","1087.360557487","192.168.110.183","192.168.110.71","TCP","66","33158  >  502 [ACK] Seq=1 Ack=1 Win=32128 Len=0 TSval=562609512 TSecr=4165312499"
"10138","1087.360905822","192.168.110.183","192.168.110.71","Modbus/TCP","95","   Query: Trans: 55010; Unit:   1, Func:  16: Write Multiple Registers"
"10139","1087.365186414","192.168.110.71","192.168.110.183","TCP","66","502  >  33158 [ACK] Seq=1 Ack=30 Win=31872 Len=0 TSval=4165312505 TSecr=562609512"
"10140","1087.370344563","192.168.110.71","192.168.110.183","TCP","66","502  >  33142 [FIN, ACK] Seq=13 Ack=31 Win=31872 Len=0 TSval=4165312509 TSecr=562609498"
"10141","1087.370394719","192.168.110.183","192.168.110.71","TCP","66","33142  >  502 [ACK] Seq=31 Ack=14 Win=32128 Len=0 TSval=562609521 TSecr=4165312509"
"10142","1087.432104794","192.168.110.71","192.168.110.183","Modbus/TCP","78","Response: Trans: 55010; Unit:   1, Func:  16: Write Multiple Registers"
"10143","1087.432151669","192.168.110.183","192.168.110.71","TCP","66","33158  >  502 [ACK] Seq=30 Ack=13 Win=32128 Len=0 TSval=562609583 TSecr=4165312571"
"10144","1088.433429819","192.168.110.183","192.168.110.71","TCP","66","33158  >  502 [FIN, ACK] Seq=30 Ack=13 Win=32128 Len=0 TSval=562610584 TSecr=4165312571"
"10145","1088.434235448","192.168.110.183","192.168.110.71","TCP","74","33166  >  502 [SYN] Seq=0 Win=32120 Len=0 MSS=1460 SACK_PERM TSval=562610585 TSecr=0 WS=128"
"10146","1088.447245560","192.168.110.71","192.168.110.183","TCP","74","502  >  33166 [SYN, ACK] Seq=0 Ack=1 Win=31856 Len=0 MSS=1460 SACK_PERM TSval=4165313586 TSecr=562610585 WS=128"
"10147","1088.447349779","192.168.110.183","192.168.110.71","TCP","66","33166  >  502 [ACK] Seq=1 Ack=1 Win=32128 Len=0 TSval=562610598 TSecr=4165313586"
"10148","1088.447550562","192.168.110.183","192.168.110.71","Modbus/TCP","95","   Query: Trans: 64828; Unit:   1, Func:  16: Write Multiple Registers"
