sender_id,sequence,rtt,send_time,ack_time
1,216,0.159,1717960291.890, 1717960292.049
1,217,0.158,1717960293.051, 1717960293.208
1,218,0.150,1717960294.209, 1717960294.360
1,219,0.115,1717960295.361, 1717960295.475
1,220,0.130,1717960296.477, 1717960296.607
1,221,0.130,1717960297.608, 1717960297.738
1,222,0.133,1717960298.739, 1717960298.872
1,223,0.128,1717960299.873, 1717960300.001
1,224,0.118,1717960301.003, 1717960301.121
1,225,0.118,1717960302.122, 1717960302.240
1,226,0.137,1717960303.241, 1717960303.378
1,227,0.135,1717960304.379, 1717960304.515
1,228,0.152,1717960305.516, 1717960305.668
1,229,0.136,1717960306.693, 1717960306.829
1,230,0.118,1717960307.831, 1717960307.949
1,231,0.113,1717960308.950, 1717960309.063
1,232,0.140,1717960310.064, 1717960310.204
1,233,0.123,1717960311.205, 1717960311.328
1,234,0.136,1717960312.329, 1717960312.465
1,235,0.136,1717960313.467, 1717960313.603
1,236,0.125,1717960314.604, 1717960314.729
1,237,0.127,1717960315.730, 1717960315.858
1,238,0.231,1717960316.859, 1717960317.089
1,239,0.150,1717960318.090, 1717960318.241
1,240,0.140,1717960319.242, 1717960319.382
1,241,0.135,1717960320.383, 1717960320.518
1,242,0.129,1717960321.519, 1717960321.648
1,243,0.133,1717960322.649, 1717960322.783
1,244,0.132,1717960323.913, 1717960324.046
1,245,0.133,1717960325.047, 1717960325.180
1,246,0.121,1717960326.181, 1717960326.302
1,247,0.146,1717960327.303, 1717960327.449
1,248,0.176,1717960328.450, 1717960328.626
1,249,0.130,1717960329.676, 1717960329.807
1,250,0.139,1717960330.808, 1717960330.947
1,251,0.173,1717960331.948, 1717960332.121
1,252,0.136,1717960333.122, 1717960333.258
1,253,0.133,1717960334.260, 1717960334.392
1,254,0.145,1717960335.394, 1717960335.539
1,255,0.127,1717960336.540, 1717960336.667
1,256,0.126,1717960337.668, 1717960337.794
1,257,0.129,1717960338.795, 1717960338.924
1,258,0.208,1717960339.925, 1717960340.133
1,259,0.099,1717960341.134, 1717960341.233
1,260,0.153,1717960342.234, 1717960342.387
1,261,0.155,1717960343.389, 1717960343.544
1,262,0.140,1717960344.545, 1717960344.685
1,263,0.143,1717960345.686, 1717960345.829
1,264,0.136,1717960346.869, 1717960347.005
1,265,0.122,1717960348.007, 1717960348.129
1,266,0.120,1717960349.130, 1717960349.251
1,267,0.120,1717960350.252, 1717960350.372
1,268,0.112,1717960351.373, 1717960351.485
1,269,0.147,1717960352.529, 1717960352.676
1,270,0.152,1717960353.677, 1717960353.829
1,271,0.131,1717960354.830, 1717960354.961
1,272,0.152,1717960355.962, 1717960356.114
1,273,0.116,1717960357.115, 1717960357.231
1,274,0.130,1717960358.232, 1717960358.362
1,275,0.153,1717960359.363, 1717960359.517
1,276,0.112,1717960360.518, 1717960360.630
1,277,0.131,1717960361.631, 1717960361.762
1,278,0.139,1717960362.763, 1717960362.902
1,279,0.143,1717960363.938, 1717960364.081
1,280,0.126,1717960365.082, 1717960365.208
1,281,0.120,1717960366.209, 1717960366.329
1,282,0.136,1717960367.330, 1717960367.466
1,283,0.137,1717960368.467, 1717960368.604
1,284,0.119,1717960369.646, 1717960369.765
1,285,0.136,1717960370.766, 1717960370.902
1,286,0.116,1717960371.903, 1717960372.019
1,287,0.152,1717960373.021, 1717960373.172
1,288,0.141,1717960374.174, 1717960374.315
1,289,0.133,1717960375.316, 1717960375.449
1,290,0.126,1717960376.450, 1717960376.576
1,291,0.135,1717960377.577, 1717960377.712
1,292,0.134,1717960378.714, 1717960378.848
1,293,0.144,1717960379.849, 1717960379.993
1,294,0.138,1717960380.994, 1717960381.132
1,295,0.115,1717960382.133, 1717960382.248
1,296,0.134,1717960383.249, 1717960383.383
1,297,0.149,1717960384.384, 1717960384.533
1,298,0.124,1717960385.534, 1717960385.659
1,299,0.117,1717960386.703, 1717960386.820
1,300,0.141,1717960387.821, 1717960387.962
1,301,0.145,1717960388.963, 1717960389.108
1,302,0.145,1717960390.109, 1717960390.254
1,303,0.123,1717960391.255, 1717960391.377
1,304,0.120,1717960392.379, 1717960392.499
1,305,0.126,1717960393.500, 1717960393.626
1,306,0.119,1717960394.627, 1717960394.746
1,307,0.114,1717960395.748, 1717960395.862
1,308,0.131,1717960396.863, 1717960396.994
1,309,0.136,1717960397.995, 1717960398.131
1,310,0.142,1717960399.132, 1717960399.275
1,311,0.119,1717960400.276, 1717960400.395
1,312,0.121,1717960401.396, 1717960401.517
1,313,0.130,1717960402.518, 1717960402.649
1,314,0.143,1717960403.778, 1717960403.920
1,315,0.106,1717960404.922, 1717960405.028
1,316,0.159,1717960406.029, 1717960406.188
1,317,0.125,1717960407.189, 1717960407.315
1,318,0.148,1717960408.316, 1717960408.463
1,319,0.115,1717960409.464, 1717960409.580
1,320,0.131,1717960410.581, 1717960410.712
1,321,0.149,1717960411.713, 1717960411.862
1,322,0.129,1717960412.863, 1717960412.992
1,323,0.143,1717960413.993, 1717960414.136
1,324,0.134,1717960415.138, 1717960415.272
1,325,0.144,1717960416.273, 1717960416.417
1,326,0.121,1717960417.418, 1717960417.539
