delay,send_time,receive_time
-0.020,1716217924.670,1716217924.649
0.022,1716217925.708,1716217925.730
0.032,1716217926.797,1716217926.829
0.027,1716217927.907,1716217927.934
-0.003,1716217929.011,1716217929.008
-0.004,1716217930.079,1716217930.076
0.003,1716217931.161,1716217931.164
0.038,1716217932.235,1716217932.273
0.017,1716217933.351,1716217933.369
-0.004,1716217934.435,1716217934.431
0.007,1716217935.503,1716217935.510
-0.002,1716217936.581,1716217936.580
0.012,1716217938.172,1716217938.184
0.017,1716217939.251,1716217939.268
0.022,1716217940.340,1716217940.363
0.029,1716217941.434,1716217941.463
0.002,1716217942.534,1716217942.536
0.001,1716217944.276,1716217944.276
0.007,1716217945.347,1716217945.354
0.007,1716217946.434,1716217946.441
0.008,1716217947.507,1716217947.516
-0.001,1716217948.583,1716217948.582
0.016,1716217949.655,1716217949.671
0.018,1716217950.732,1716217950.750
0.032,1716217951.823,1716217951.855
0.010,1716217952.931,1716217952.940
0.016,1716217954.009,1716217954.025
-0.004,1716217955.095,1716217955.090
-0.003,1716217956.170,1716217956.168
0.008,1716217957.262,1716217957.270
0.025,1716217958.334,1716217958.359
0.025,1716217959.430,1716217959.455
