sender_id,sequence,ack_time
1,540,1717960662.316
1,541,1717960663.440
1,542,1717960664.555
1,543,1717960665.685
1,544,1717960666.813
1,545,1717960667.953
1,546,1717960669.105
1,547,1717960670.236
1,548,1717960671.365
1,549,1717960672.496
1,550,1717960673.636
1,551,1717960674.797
1,552,1717960675.943
1,553,1717960677.056
1,554,1717960678.205
1,555,1717960679.323
1,556,1717960680.442
1,557,1717960681.576
1,558,1717960682.701
1,559,1717960683.840
1,560,1717960684.986
1,561,1717960686.128
1,562,1717960687.269
1,563,1717960688.418
1,564,1717960689.561
1,565,1717960690.686
1,566,1717960691.911
1,567,1717960693.019
1,568,1717960694.154
1,569,1717960695.289
1,570,1717960696.434
1,571,1717960697.634
1,572,1717960698.772
1,573,1717960699.911
1,574,1717960701.051
1,575,1717960702.172
1,576,1717960703.302
1,577,1717960704.437
1,578,1717960705.584
1,579,1717960706.733
1,580,1717960707.853
1,581,1717960708.986
1,582,1717960710.104
1,583,1717960711.231
1,584,1717960712.342
1,585,1717960713.482
1,586,1717960714.722
1,587,1717960715.872
1,588,1717960716.997
1,589,1717960718.132
1,590,1717960719.265
1,591,1717960720.395
1,592,1717960721.530
1,593,1717960722.677
1,594,1717960723.826
1,595,1717960724.952
1,596,1717960726.138
1,597,1717960727.272
1,598,1717960728.391
1,599,1717960729.513
1,600,1717960730.665
1,601,1717960731.825
1,602,1717960732.963
1,603,1717960734.069
1,604,1717960735.190
1,605,1717960736.323
1,606,1717960737.484
1,607,1717960738.651
1,608,1717960739.797
1,609,1717960740.939
1,610,1717960742.088
1,611,1717960743.224
1,612,1717960744.347
1,613,1717960745.519
1,614,1717960746.666
1,615,1717960747.789
1,616,1717960748.984
1,617,1717960750.150
1,618,1717960751.316
1,619,1717960752.481
1,620,1717960753.707
1,621,1717960754.955
1,622,1717960756.091
1,623,1717960757.244
1,624,1717960758.400
1,625,1717960759.527
1,626,1717960760.749
1,627,1717960761.876
1,628,1717960763.010
1,629,1717960764.141
1,630,1717960765.268
1,631,1717960766.412
1,632,1717960767.550
1,633,1717960768.680
1,634,1717960769.837
1,635,1717960770.951
1,636,1717960772.088
1,637,1717960773.235
1,638,1717960774.384
1,639,1717960775.515
1,640,1717960776.653
1,641,1717960777.837
1,642,1717960778.983
1,643,1717960780.120
1,644,1717960781.262
1,645,1717960782.389
1,646,1717960783.534
1,647,1717960784.673
1,648,1717960785.805
1,649,1717960786.944
1,650,1717960788.085
1,651,1717960789.217
1,652,1717960790.378
1,653,1717960791.481
1,654,1717960792.596
1,655,1717960793.750
1,656,1717960794.961
1,657,1717960796.113
1,658,1717960797.229
1,659,1717960798.382
1,660,1717960799.537
1,661,1717960800.684
1,662,1717960801.807
1,663,1717960802.957
1,664,1717960804.052
1,665,1717960805.184
1,666,1717960806.330
1,667,1717960807.490
1,668,1717960808.641
1,669,1717960809.764
1,670,1717960810.877
1,671,1717960812.044
1,672,1717960813.173
1,673,1717960814.324
1,674,1717960815.458
1,675,1717960816.602
1,676,1717960817.740
1,677,1717960818.883
1,678,1717960820.016
1,679,1717960821.184
1,680,1717960822.329
1,681,1717960823.468
1,682,1717960824.604
1,683,1717960825.748
1,684,1717960826.879
1,685,1717960828.028
1,686,1717960829.165
1,687,1717960830.305
1,688,1717960831.415
1,689,1717960832.556
1,690,1717960833.690
1,691,1717960834.816
1,692,1717960835.971
1,693,1717960837.117
1,694,1717960838.224
1,695,1717960839.381
1,696,1717960840.523
1,697,1717960841.678
1,698,1717960842.816
1,699,1717960843.963
1,700,1717960845.093
1,701,1717960846.232
1,702,1717960847.391
1,703,1717960848.534
1,704,1717960849.681
