delay,send_time,receive_time
0.051,1715862951.898,1715862951.949
0.057,1715862952.951,1715862953.008
0.054,1715862954.257,1715862954.311
0.058,1715862955.561,1715862955.619
1.074,1715862956.643,1715862957.717
0.076,1715862958.748,1715862958.824
1.084,1715862959.843,1715862960.927
0.060,1715862962.183,1715862962.243
0.033,1715862963.266,1715862963.299
0.058,1715862964.328,1715862964.385
0.049,1715862965.409,1715862965.457
0.059,1715862966.494,1715862966.552
0.053,1715862967.793,1715862967.847
0.053,1715862968.866,1715862968.919
0.052,1715862969.950,1715862970.002
0.064,1715862971.036,1715862971.100
0.075,1715862972.123,1715862972.198
0.059,1715862973.221,1715862973.280
1.083,1715862974.298,1715862975.381
2.104,1715862976.405,1715862978.509
0.058,1715862979.538,1715862979.596
0.074,1715862980.614,1715862980.688
0.279,1715862981.717,1715862981.995
1.063,1715862983.232,1715862984.295
0.038,1715862985.535,1715862985.572
0.063,1715862986.601,1715862986.663
0.054,1715862987.692,1715862987.745
0.048,1715862988.774,1715862988.822
2.074,1715862989.840,1715862991.915
0.053,1715862992.933,1715862992.985
1.060,1715862994.003,1715862995.063
0.050,1715862996.081,1715862996.131
0.044,1715862997.160,1715862997.204
0.043,1715862998.236,1715862998.279
1.069,1715862999.525,1715863000.594
0.059,1715863001.617,1715863001.676
3.499,1715863002.704,1715863006.203
1.073,1715863007.226,1715863008.299
0.068,1715863009.320,1715863009.389
0.038,1715863010.410,1715863010.448
0.065,1715863011.471,1715863011.536
0.048,1715863012.568,1715863012.617
0.273,1715863013.640,1715863013.913
0.063,1715863014.942,1715863015.005
0.065,1715863016.038,1715863016.103
0.046,1715863017.124,1715863017.170
0.048,1715863018.419,1715863018.467
0.073,1715863019.482,1715863019.555
0.049,1715863020.583,1715863020.631
0.079,1715863021.666,1715863021.745
0.043,1715863022.761,1715863022.804
0.044,1715863023.827,1715863023.871
2.095,1715863024.901,1715863026.996
0.044,1715863028.028,1715863028.072
0.059,1715863029.094,1715863029.153
0.044,1715863030.170,1715863030.214
0.059,1715863031.237,1715863031.296
0.039,1715863032.324,1715863032.362
0.044,1715863033.394,1715863033.438
0.281,1715863034.466,1715863034.747
2.095,1715863035.775,1715863037.870
0.045,1715863038.898,1715863038.943
0.064,1715863039.968,1715863040.032
0.049,1715863041.050,1715863041.099
0.042,1715863042.117,1715863042.159
0.044,1715863043.174,1715863043.218
0.054,1715863044.255,1715863044.309
0.053,1715863045.342,1715863045.396
0.284,1715863046.428,1715863046.713
0.055,1715863047.953,1715863048.008
0.059,1715863049.238,1715863049.297
0.040,1715863050.537,1715863050.578
0.069,1715863051.592,1715863051.661
0.059,1715863052.686,1715863052.746
0.080,1715863053.769,1715863053.848
0.045,1715863054.866,1715863054.910
0.044,1715863055.928,1715863055.972
0.271,1715863057.004,1715863057.275
1.051,1715863058.512,1715863059.563
0.045,1715863060.580,1715863060.625
0.045,1715863061.640,1715863061.685
0.090,1715863062.924,1715863063.014
0.075,1715863064.037,1715863064.112
0.045,1715863065.127,1715863065.172
0.262,1715863066.190,1715863066.451
0.061,1715863067.474,1715863067.535
0.059,1715863068.555,1715863068.614
0.065,1715863069.633,1715863069.698
1.059,1715863070.928,1715863071.987
1.043,1715863073.006,1715863074.049
0.065,1715863075.072,1715863075.137
0.860,1715863076.159,1715863077.018
0.050,1715863078.476,1715863078.526
0.076,1715863079.553,1715863079.629
0.085,1715863080.648,1715863080.733
1.069,1715863081.756,1715863082.825
0.065,1715863083.842,1715863083.907
0.042,1715863084.928,1715863084.969
0.054,1715863085.994,1715863086.048
0.050,1715863087.065,1715863087.116
3.666,1715863088.144,1715863091.810
0.060,1715863092.824,1715863092.884
0.050,1715863093.906,1715863093.956
0.040,1715863094.970,1715863095.010
0.289,1715863096.037,1715863096.325
0.059,1715863097.356,1715863097.415
0.069,1715863098.439,1715863098.508
3.553,1715863099.525,1715863103.078
0.059,1715863104.100,1715863104.159
0.059,1715863105.177,1715863105.235
0.071,1715863106.262,1715863106.333
1.079,1715863107.352,1715863108.431
0.057,1715863109.456,1715863109.514
0.043,1715863110.541,1715863110.584
1.083,1715863111.836,1715863112.918
0.051,1715863113.945,1715863113.996
1.062,1715863115.240,1715863116.301
2.080,1715863117.323,1715863119.403
0.040,1715863120.435,1715863120.475
0.055,1715863121.508,1715863121.564
0.069,1715863122.590,1715863122.660
0.267,1715863123.677,1715863123.943
0.057,1715863124.966,1715863125.023
0.038,1715863126.045,1715863126.083
0.039,1715863127.110,1715863127.149
0.066,1715863128.387,1715863128.453
0.064,1715863129.480,1715863129.543
0.069,1715863130.571,1715863130.640
0.067,1715863131.661,1715863131.729
0.071,1715863132.745,1715863132.817
0.273,1715863133.839,1715863134.112
0.055,1715863135.134,1715863135.189
1.061,1715863136.432,1715863137.493
0.069,1715863138.508,1715863138.577
0.069,1715863139.602,1715863139.671
0.055,1715863140.698,1715863140.753
1.064,1715863141.769,1715863142.833
0.042,1715863143.864,1715863143.906
1.078,1715863145.148,1715863146.226
1.058,1715863147.243,1715863148.300
1.090,1715863149.337,1715863150.428
1.068,1715863151.449,1715863152.517
0.050,1715863153.538,1715863153.588
0.060,1715863154.619,1715863154.679
0.061,1715863155.702,1715863155.763
0.055,1715863156.779,1715863156.834
0.075,1715863157.856,1715863157.931
0.069,1715863158.952,1715863159.022
0.040,1715863160.038,1715863160.078
0.064,1715863161.104,1715863161.169
1.230,1715863162.190,1715863163.420
0.277,1715863164.446,1715863164.724
1.076,1715863165.750,1715863166.827
0.045,1715863167.848,1715863167.893
1.054,1715863168.906,1715863169.960
0.050,1715863170.979,1715863171.029
0.081,1715863172.052,1715863172.132
0.069,1715863173.160,1715863173.229
0.046,1715863174.471,1715863174.517
0.055,1715863175.541,1715863175.595
0.059,1715863176.618,1715863176.678
0.272,1715863177.704,1715863177.976
0.055,1715863178.997,1715863179.053
1.064,1715863180.079,1715863181.143
1.052,1715863182.169,1715863183.221
3.436,1715863184.221,1715863187.657
0.076,1715863188.680,1715863188.757
0.081,1715863189.773,1715863189.854
0.062,1715863190.875,1715863190.936
0.050,1715863191.965,1715863192.015
0.049,1715863193.037,1715863193.085
0.051,1715863194.117,1715863194.167
0.072,1715863195.173,1715863195.245
0.065,1715863196.267,1715863196.332
0.060,1715863197.356,1715863197.416
0.051,1715863198.432,1715863198.483
0.051,1715863199.731,1715863199.782
0.075,1715863200.803,1715863200.878
0.055,1715863201.904,1715863201.959
0.051,1715863202.980,1715863203.031
0.045,1715863204.056,1715863204.101
0.065,1715863205.141,1715863205.206
0.050,1715863206.232,1715863206.282
0.046,1715863207.313,1715863207.358
0.051,1715863208.376,1715863208.427
0.061,1715863209.440,1715863209.501
0.051,1715863210.739,1715863210.790
1.073,1715863211.806,1715863212.879
0.070,1715863214.126,1715863214.195
0.070,1715863215.216,1715863215.286
0.054,1715863216.304,1715863216.358
0.058,1715863217.374,1715863217.432
0.044,1715863218.457,1715863218.501
0.061,1715863219.521,1715863219.582
