sequence,ack_time
492,1716471903.861
493,1716471904.862
494,1716471905.863
495,1716471906.865
496,1716471907.866
497,1716471908.867
498,1716471909.869
499,1716471910.870
500,1716471911.872
501,1716471912.873
502,1716471913.873
503,1716471914.875
504,1716471915.876
505,1716471916.877
506,1716471917.879
508,1716471919.881
509,1716471920.883
510,1716471921.884
511,1716471922.886
512,1716471923.887
513,1716471924.889
514,1716471925.891
516,1716471927.893
517,1716471928.895
518,1716471929.896
519,1716471930.897
520,1716471931.898
521,1716471932.899
523,1716471934.902
524,1716471935.903
526,1716471937.906
527,1716471938.907
528,1716471939.908
529,1716471940.910
530,1716471941.911
531,1716471942.912
532,1716471943.913
533,1716471944.915
534,1716471945.917
535,1716471946.918
536,1716471947.928
537,1716471948.930
538,1716471949.931
539,1716471950.932
541,1716471952.934
542,1716471953.936
543,1716471954.937
544,1716471955.938
545,1716471956.940
546,1716471957.941
547,1716471958.942
548,1716471959.943
549,1716471960.945
550,1716471961.946
551,1716471962.947
552,1716471963.956
553,1716471964.958
554,1716471965.959
555,1716471966.960
556,1716471967.961
557,1716471968.963
558,1716471969.964
559,1716471970.965
560,1716471971.966
561,1716471972.968
562,1716471973.969
563,1716471974.971
564,1716471975.972
565,1716471976.974
566,1716471977.975
567,1716471978.984
568,1716471979.985
569,1716471980.987
571,1716471982.990
572,1716471983.991
573,1716471984.992
574,1716471985.993
575,1716471986.995
576,1716471987.995
577,1716471989.003
578,1716471990.005
580,1716471992.008
581,1716471993.009
582,1716471994.010
583,1716471995.012
584,1716471996.013
585,1716471997.013
586,1716471998.016
587,1716471999.016
588,1716472000.017
589,1716472001.019
590,1716472002.021
591,1716472003.022
593,1716472005.028
595,1716472007.031
596,1716472008.032
597,1716472009.034
598,1716472010.035
599,1716472011.036
600,1716472012.038
601,1716472013.039
602,1716472014.040
603,1716472015.042
604,1716472016.042
605,1716472017.044
606,1716472018.045
607,1716472019.047
608,1716472020.048
609,1716472021.049
610,1716472022.051
611,1716472023.051
612,1716472024.053
613,1716472025.054
614,1716472026.055
615,1716472027.057
616,1716472028.058
617,1716472029.059
618,1716472030.060
619,1716472031.062
620,1716472032.063
621,1716472033.065
622,1716472034.065
624,1716472036.068
625,1716472037.069
626,1716472038.071
627,1716472039.072
628,1716472040.073
629,1716472041.075
630,1716472042.077
631,1716472043.078
632,1716472044.079
634,1716472046.082
635,1716472047.083
636,1716472048.084
637,1716472049.085
638,1716472050.086
639,1716472051.087
640,1716472052.089
641,1716472053.090
642,1716472054.091
643,1716472055.093
645,1716472057.095
646,1716472058.097
647,1716472059.098
648,1716472060.099
649,1716472061.100
650,1716472062.101
651,1716472063.106
652,1716472064.108
653,1716472065.109
654,1716472066.110
655,1716472067.112
656,1716472068.113
657,1716472069.113
659,1716472071.117
660,1716472072.118
661,1716472073.119
662,1716472074.120
663,1716472075.122
664,1716472076.122
665,1716472077.124
666,1716472078.126
667,1716472079.127
668,1716472080.128
669,1716472081.129
670,1716472082.130
671,1716472083.131
672,1716472084.133
673,1716472085.135
674,1716472086.136
675,1716472087.137
676,1716472088.138
677,1716472089.140
678,1716472090.140
679,1716472091.142
680,1716472092.144
681,1716472093.153
682,1716472094.154
683,1716472095.155
684,1716472096.156
685,1716472097.157
686,1716472098.159
687,1716472099.160
688,1716472100.161
689,1716472101.162
690,1716472102.164
691,1716472103.165
692,1716472104.166
693,1716472105.168
694,1716472106.169
695,1716472107.170
697,1716472109.178
698,1716472110.180
699,1716472111.181
701,1716472113.183
702,1716472114.185
703,1716472115.186
704,1716472116.187
705,1716472117.189
706,1716472118.190
707,1716472119.196
708,1716472120.197
709,1716472121.198
710,1716472122.200
711,1716472123.201
712,1716472124.211
713,1716472125.211
714,1716472126.212
715,1716472127.214
716,1716472128.216
717,1716472129.221
718,1716472130.222
719,1716472131.224
721,1716472133.227
722,1716472134.228
723,1716472135.229
725,1716472137.231
726,1716472138.232
727,1716472139.234
728,1716472140.235
729,1716472141.237
731,1716472143.239
732,1716472144.244
733,1716472145.245
734,1716472146.246
735,1716472147.248
736,1716472148.248
737,1716472149.250
738,1716472150.251
739,1716472151.252
740,1716472152.254
741,1716472153.255
742,1716472154.264
744,1716472156.267
745,1716472157.268
746,1716472158.270
747,1716472159.270
748,1716472160.272
749,1716472161.274
750,1716472162.275
751,1716472163.276
752,1716472164.281
753,1716472165.282
754,1716472166.284
755,1716472167.285
756,1716472168.286
757,1716472169.288
758,1716472170.289
759,1716472171.289
760,1716472172.291
761,1716472173.293
762,1716472174.294
763,1716472175.295
764,1716472176.296
765,1716472177.297
766,1716472178.299
767,1716472179.303
768,1716472180.304
769,1716472181.305
770,1716472182.307
771,1716472183.308
772,1716472184.309
773,1716472185.310
774,1716472186.312
775,1716472187.313
776,1716472188.314
777,1716472189.322
778,1716472190.323
779,1716472191.325
780,1716472192.326
781,1716472193.327
782,1716472194.329
783,1716472195.330
784,1716472196.331
785,1716472197.333
787,1716472199.335
788,1716472200.336
789,1716472201.338
790,1716472202.339
791,1716472203.340
793,1716472205.342
794,1716472206.344
795,1716472207.346
797,1716472209.348
798,1716472210.350
799,1716472211.350
800,1716472212.352
801,1716472213.353
802,1716472214.354
803,1716472215.356
804,1716472216.357
805,1716472217.358
806,1716472218.359
807,1716472219.361
808,1716472220.363
809,1716472221.364
810,1716472222.365
811,1716472223.366
812,1716472224.374
813,1716472225.375
814,1716472226.377
815,1716472227.378
816,1716472228.379
817,1716472229.380
818,1716472230.382
819,1716472231.382
820,1716472232.384
821,1716472233.385
822,1716472234.387
823,1716472235.388
824,1716472236.388
826,1716472238.392
828,1716472240.402
829,1716472241.403
830,1716472242.404
831,1716472243.406
832,1716472244.407
835,1716472247.411
836,1716472248.412
838,1716472250.414
839,1716472251.416
840,1716472252.417
841,1716472253.418
842,1716472254.424
843,1716472255.425
846,1716472258.430
847,1716472259.434
848,1716472260.436
849,1716472261.437
850,1716472262.438
851,1716472263.440
852,1716472264.441
853,1716472265.443
854,1716472266.444
855,1716472267.445
856,1716472268.447
857,1716472269.453
858,1716472270.454
859,1716472271.456
860,1716472272.456
861,1716472273.458
862,1716472274.464
863,1716472275.465
864,1716472276.467
865,1716472277.468
866,1716472278.469
867,1716472279.470
868,1716472280.471
869,1716472281.472
870,1716472282.473
871,1716472283.475
872,1716472284.476
873,1716472285.477
874,1716472286.479
875,1716472287.480
876,1716472288.481
877,1716472289.483
878,1716472290.485
879,1716472291.485
880,1716472292.487
881,1716472293.488
882,1716472294.489
883,1716472295.491
884,1716472296.492
885,1716472297.493
886,1716472298.495
887,1716472299.496
888,1716472300.498
889,1716472301.499
890,1716472302.500
891,1716472303.501
893,1716472305.504
894,1716472306.505
895,1716472307.506
896,1716472308.508
897,1716472309.512
898,1716472310.514
899,1716472311.515
900,1716472312.517
901,1716472313.518
903,1716472315.520
904,1716472316.522
906,1716472318.524
907,1716472319.526
908,1716472320.527
909,1716472321.529
910,1716472322.530
911,1716472323.531
912,1716472324.533
913,1716472325.534
914,1716472326.535
915,1716472327.540
916,1716472328.542
917,1716472329.543
