rtt,send_time,ack_time
1.460,1715868465.189,1715868466.649
1.457,1715868467.649,1715868469.106
1.772,1715868470.107,1715868471.879
1.382,1715868472.880,1715868474.261
1.422,1715868475.262,1715868476.684
1.456,1715868477.685,1715868479.141
1.867,1715868480.142,1715868482.009
1.453,1715868483.010,1715868484.463
1.461,1715868485.464,1715868486.924
1.660,1715868487.925,1715868489.585
1.868,1715868490.586,1715868492.454
1.457,1715868493.455,1715868494.912
1.457,1715868495.912,1715868497.369
1.868,1715868498.370,1715868500.238
1.378,1715868501.239,1715868502.617
1.534,1715868503.618,1715868505.152
1.459,1715868506.153,1715868507.612
1.661,1715868508.612,1715868510.273
1.455,1715868511.274,1715868512.728
1.458,1715868513.729,1715868515.187
1.861,1715868516.188,1715868518.049
1.462,1715868519.050,1715868520.512
1.453,1715868521.513,1715868522.966
1.460,1715868523.966,1715868525.427
2.088,1715868526.427,1715868528.515
1.437,1715868529.516,1715868530.953
1.460,1715868531.954,1715868533.414
1.454,1715868534.415,1715868535.868
1.869,1715868536.869,1715868538.738
1.457,1715868539.739,1715868541.197
1.455,1715868542.197,1715868543.653
1.674,1715868544.653,1715868546.327
1.451,1715868547.328,1715868548.779
1.452,1715868549.780,1715868551.232
1.457,1715868552.232,1715868553.689
1.864,1715868554.690,1715868556.554
1.457,1715868557.554,1715868559.011
1.460,1715868560.012,1715868561.472
1.631,1715868562.473,1715868564.104
1.689,1715868565.105,1715868566.794
1.457,1715868567.795,1715868569.252
1.460,1715868570.253,1715868571.713
1.869,1715868572.714,1715868574.583
1.452,1715868575.584,1715868577.036
1.458,1715868578.037,1715868579.494
1.459,1715868580.495,1715868581.954
1.861,1715868582.955,1715868584.815
1.869,1715868585.816,1715868587.685
1.871,1715868588.686,1715868590.556
1.865,1715868591.557,1715868593.423
1.372,1715868594.423,1715868595.796
1.537,1715868596.796,1715868598.333
1.666,1715868599.334,1715868601.000
1.867,1715868602.001,1715868603.868
1.456,1715868604.869,1715868606.325
1.455,1715868607.326,1715868608.781
1.866,1715868609.781,1715868611.648
1.670,1715868612.648,1715868614.318
1.446,1715868615.319,1715868616.765
1.460,1715868617.766,1715868619.226
1.661,1715868620.226,1715868621.888
1.457,1715868622.888,1715868624.346
