sender_id,sequence,ack_time
1,587,1717669609.996
1,588,1717669610.999
1,589,1717669611.996
1,590,1717669613.008
1,591,1717669614.011
1,592,1717669615.012
1,593,1717669616.018
1,594,1717669617.013
1,595,1717669618.013
1,596,1717669619.018
1,597,1717669620.023
1,598,1717669621.021
1,599,1717669622.035
1,600,1717669623.019
1,601,1717669624.025
1,602,1717669625.026
1,603,1717669626.029
1,604,1717669627.033
1,605,1717669628.041
1,606,1717669629.042
1,607,1717669630.034
1,608,1717669631.048
1,609,1717669632.055
1,610,1717669633.058
1,611,1717669634.051
1,612,1717669635.051
1,613,1717669636.048
1,614,1717669637.054
1,615,1717669638.058
1,616,1717669639.069
1,617,1717669640.066
1,618,1717669641.073
1,619,1717669642.068
1,620,1717669643.080
1,621,1717669644.076
1,622,1717669645.071
1,623,1717669646.076
1,624,1717669647.081
1,625,1717669648.082
1,626,1717669649.086
1,627,1717669650.088
1,628,1717669651.083
1,629,1717669652.101
1,630,1717669653.092
1,631,1717669654.095
1,632,1717669655.102
1,633,1717669656.095
1,634,1717669657.105
1,635,1717669658.117
1,636,1717669659.108
1,637,1717669660.106
1,638,1717669661.115
1,639,1717669662.118
1,640,1717669663.128
1,641,1717669664.131
1,642,1717669665.107
1,643,1717669666.129
1,644,1717669667.130
1,645,1717669668.127
1,646,1717669669.127
1,647,1717669670.131
1,648,1717669671.138
1,649,1717669672.141
1,650,1717669673.143
1,651,1717669674.145
1,652,1717669675.145
1,653,1717669676.146
1,654,1717669677.152
1,655,1717669678.150
1,656,1717669679.153
1,657,1717669680.158
1,658,1717669681.170
1,659,1717669682.161
1,660,1717669683.150
1,661,1717669684.161
1,662,1717669685.175
1,663,1717669686.172
1,664,1717669687.167
1,665,1717669688.170
1,666,1717669689.171
1,667,1717669690.184
1,668,1717669691.186
1,669,1717669692.179
1,670,1717669693.189
1,671,1717669694.188
1,672,1717669695.179
1,673,1717669696.188
1,674,1717669697.194
1,675,1717669698.249
1,676,1717669699.245
1,677,1717669700.199
1,678,1717669701.230
1,679,1717669702.227
1,680,1717669703.208
1,681,1717669704.206
1,682,1717669705.231
1,683,1717669706.204
1,684,1717669707.216
1,685,1717669708.214
1,686,1717669709.215
1,687,1717669710.227
1,688,1717669711.224
1,689,1717669712.224
1,690,1717669713.224
1,691,1717669714.251
1,692,1717669715.259
1,693,1717669716.234
1,694,1717669717.234
1,695,1717669718.236
1,696,1717669719.242
1,697,1717669720.243
1,698,1717669721.216
1,699,1717669722.243
1,700,1717669723.254
1,701,1717669724.256
1,702,1717669725.257
1,703,1717669726.254
1,704,1717669727.263
1,705,1717669728.261
1,706,1717669729.271
1,707,1717669730.270
1,708,1717669731.269
1,709,1717669732.273
1,710,1717669733.276
1,711,1717669734.280
1,712,1717669735.281
1,713,1717669736.278
1,714,1717669737.278
1,715,1717669738.286
1,716,1717669739.285
1,717,1717669740.289
1,718,1717669741.296
1,719,1717669742.296
1,720,1717669743.296
1,721,1717669744.295
1,722,1717669745.299
1,723,1717669746.299
1,724,1717669747.309
1,725,1717669748.308
1,726,1717669749.309
1,727,1717669750.310
