delay,send_time,receive_time,data_length
-0.045,1716457087.793,1716457087.748,1000
-0.050,1716457088.797,1716457088.747,1000
-0.054,1716457089.801,1716457089.747,1000
-0.052,1716457090.804,1716457090.752,1000
-0.054,1716457091.808,1716457091.754,1000
-0.053,1716457092.812,1716457092.759,1000
-0.051,1716457093.815,1716457093.764,1000
-0.051,1716457094.819,1716457094.768,1000
-0.053,1716457095.823,1716457095.770,1000
-0.056,1716457096.826,1716457096.770,1000
-0.055,1716457097.830,1716457097.775,1000
-0.056,1716457098.834,1716457098.778,1000
-0.051,1716457099.837,1716457099.786,1000
-0.050,1716457100.841,1716457100.791,1000
-0.053,1716457101.845,1716457101.792,1000
-0.057,1716457102.849,1716457102.792,1000
-0.058,1716457103.852,1716457103.794,1000
-0.058,1716457104.856,1716457104.798,1000
-0.057,1716457105.860,1716457105.803,1000
-0.058,1716457106.863,1716457106.805,1000
-0.057,1716457107.867,1716457107.810,1000
-0.059,1716457108.871,1716457108.812,1000
-0.064,1716457109.875,1716457109.811,1000
-0.059,1716457110.879,1716457110.820,1000
-0.056,1716457111.882,1716457111.826,1000
-0.059,1716457112.886,1716457112.827,1000
-0.055,1716457113.890,1716457113.835,1000
-0.056,1716457114.893,1716457114.837,1000
-0.059,1716457115.897,1716457115.838,1000
-0.062,1716457116.901,1716457116.839,1000
-0.060,1716457117.904,1716457117.844,1000
-0.061,1716457118.908,1716457118.847,1000
-0.057,1716457119.912,1716457119.855,1000
-0.055,1716457120.916,1716457120.861,1000
-0.061,1716457121.919,1716457121.858,1000
-0.059,1716457122.923,1716457122.864,1000
-0.058,1716457123.927,1716457123.869,1000
-0.063,1716457124.930,1716457124.867,1000
-0.055,1716457125.934,1716457125.879,1000
-0.063,1716457126.938,1716457126.875,1000
-0.063,1716457127.942,1716457127.879,1000
-0.062,1716457128.945,1716457128.883,1000
-0.064,1716457129.949,1716457129.885,1000
-0.062,1716457130.953,1716457130.891,1000
-0.056,1716457131.956,1716457131.900,1000
-0.058,1716457132.960,1716457132.902,1000
-0.063,1716457133.964,1716457133.901,1000
-0.064,1716457134.967,1716457134.903,1000
-0.058,1716457135.971,1716457135.913,1000
-0.066,1716457136.975,1716457136.909,1000
-0.059,1716457137.978,1716457137.919,1000
-0.061,1716457138.982,1716457138.921,1000
-0.061,1716457139.986,1716457139.925,1000
-0.064,1716457140.989,1716457140.925,1000
-0.067,1716457141.993,1716457141.926,1000
-0.062,1716457142.997,1716457142.935,1000
-0.063,1716457144.000,1716457143.937,1000
-0.068,1716457145.004,1716457144.936,1000
-0.064,1716457146.008,1716457145.944,1000
-0.068,1716457147.012,1716457146.944,1000
-0.060,1716457148.015,1716457147.955,1000
-0.063,1716457149.019,1716457148.956,1000
-0.064,1716457150.023,1716457149.959,1000
-0.063,1716457151.027,1716457150.964,1000
-0.067,1716457152.030,1716457151.963,1000
-0.068,1716457153.034,1716457152.966,1000
-0.069,1716457154.038,1716457153.969,1000
-0.066,1716457155.042,1716457154.976,1000
-0.065,1716457156.045,1716457155.980,1000
-0.063,1716457157.049,1716457156.986,1000
-0.070,1716457158.053,1716457157.983,1000
-0.070,1716457159.056,1716457158.986,1000
-0.071,1716457160.060,1716457159.989,1000
-0.065,1716457161.064,1716457160.999,1000
-0.066,1716457162.067,1716457162.001,1000
-0.066,1716457163.071,1716457163.005,1000
-0.070,1716457164.075,1716457164.005,1000
-0.071,1716457165.078,1716457165.007,1000
-0.059,1716457166.082,1716457166.023,1000
-0.068,1716457167.086,1716457167.018,1000
-0.067,1716457168.089,1716457168.022,1000
-0.072,1716457169.093,1716457169.021,1000
-0.073,1716457170.097,1716457170.024,1000
-0.073,1716457171.101,1716457171.028,1000
