"No.","Time","Source","Destination","Protocol","Length","Info"
"22265","1357.021191640","192.168.105.183","192.168.105.117","MQTT","70","Publish Release (id=1354)"
"22266","1357.021870340","192.168.105.117","192.168.105.183","MQTT","70","Publish Complete (id=1354)"
"22267","1357.024493216","192.168.105.71","192.168.105.117","TCP","66","38737  >  1883 [ACK] Seq=27353 Ack=32761 Win=32128 Len=0 TSval=63267109 TSecr=3424929314"
"22268","1357.077725001","192.168.105.183","192.168.105.117","TCP","66","50791  >  1883 [ACK] Seq=30078 Ack=30048 Win=32128 Len=0 TSval=2894194331 TSecr=858879717"
"22269","1357.077912449","192.168.105.71","192.168.105.117","MQTT","83","Publish Message (id=1354) [res]"
"22270","1357.079070110","192.168.105.117","192.168.105.71","MQTT","70","Publish Received (id=1354)"
"22271","1357.079868551","192.168.105.117","192.168.105.183","MQTT","81","Publish Message [res]"
"22272","1357.084942479","192.168.105.71","192.168.105.117","TCP","66","38737  >  1883 [ACK] Seq=27370 Ack=32765 Win=32128 Len=0 TSval=63267170 TSecr=3424929378"
"22273","1357.089819061","192.168.105.183","192.168.105.117","TCP","66","50791  >  1883 [ACK] Seq=30078 Ack=30063 Win=32128 Len=0 TSval=2894194344 TSecr=858879775"
"22274","1357.095799243","192.168.105.71","192.168.105.117","MQTT","70","Publish Release (id=1354)"
"22275","1357.096382266","192.168.105.117","192.168.105.71","MQTT","70","Publish Complete (id=1354)"
"22276","1357.150684940","192.168.105.71","192.168.105.117","TCP","66","38737  >  1883 [ACK] Seq=27374 Ack=32769 Win=32128 Len=0 TSval=63267230 TSecr=3424929395"
"22277","1358.013548638","192.168.105.183","192.168.105.117","MQTT","85","Publish Message (id=1355) [topic]"
"22278","1358.014701247","192.168.105.117","192.168.105.183","MQTT","70","Publish Received (id=1355)"
"22279","1358.015303697","192.168.105.117","192.168.105.71","MQTT","83","Publish Message [topic]"
"22280","1358.020664240","192.168.105.183","192.168.105.117","TCP","66","50791  >  1883 [ACK] Seq=30097 Ack=30067 Win=32128 Len=0 TSval=2894195279 TSecr=858880710"
"22281","1358.020898200","192.168.105.183","192.168.105.117","MQTT","70","Publish Release (id=1355)"
"22282","1358.021484556","192.168.105.117","192.168.105.183","MQTT","70","Publish Complete (id=1355)"
"22283","1358.025036550","192.168.105.71","192.168.105.117","TCP","66","38737  >  1883 [ACK] Seq=27374 Ack=32786 Win=32128 Len=0 TSval=63268110 TSecr=3424930314"
"22284","1358.070718824","192.168.105.71","192.168.105.117","MQTT","83","Publish Message (id=1355) [res]"
"22285","1358.071757891","192.168.105.117","192.168.105.71","MQTT","70","Publish Received (id=1355)"
"22286","1358.072228101","192.168.105.117","192.168.105.183","MQTT","81","Publish Message [res]"
"22287","1358.073763159","192.168.105.183","192.168.105.117","TCP","66","50791  >  1883 [ACK] Seq=30101 Ack=30071 Win=32128 Len=0 TSval=2894195327 TSecr=858880716"
"22288","1358.080620271","192.168.105.71","192.168.105.117","TCP","66","38737  >  1883 [ACK] Seq=27391 Ack=32790 Win=32128 Len=0 TSval=63268163 TSecr=3424930371"
"22289","1358.080773032","192.168.105.183","192.168.105.117","TCP","66","50791  >  1883 [ACK] Seq=30101 Ack=30086 Win=32128 Len=0 TSval=2894195337 TSecr=858880767"
"22290","1358.091243597","192.168.105.71","192.168.105.117","MQTT","70","Publish Release (id=1355)"
"22291","1358.091886777","192.168.105.117","192.168.105.71","MQTT","70","Publish Complete (id=1355)"
"22292","1358.147497477","192.168.105.71","192.168.105.117","TCP","66","38737  >  1883 [ACK] Seq=27395 Ack=32794 Win=32128 Len=0 TSval=63268226 TSecr=3424930391"
"22293","1359.013277743","192.168.105.183","192.168.105.117","MQTT","85","Publish Message (id=1356) [topic]"
"22294","1359.014538738","192.168.105.117","192.168.105.183","MQTT","70","Publish Received (id=1356)"
"22295","1359.015073897","192.168.105.117","192.168.105.71","MQTT","83","Publish Message [topic]"
"22296","1359.019287664","192.168.105.183","192.168.105.117","TCP","66","50791  >  1883 [ACK] Seq=30120 Ack=30090 Win=32128 Len=0 TSval=2894196278 TSecr=858881709"
"22297","1359.019822354","192.168.105.183","192.168.105.117","MQTT","70","Publish Release (id=1356)"
"22298","1359.020351575","192.168.105.117","192.168.105.183","MQTT","70","Publish Complete (id=1356)"
"22299","1359.023799610","192.168.105.71","192.168.105.117","TCP","66","38737  >  1883 [ACK] Seq=27395 Ack=32811 Win=32128 Len=0 TSval=63269109 TSecr=3424931314"
"22300","1359.075196386","192.168.105.183","192.168.105.117","TCP","66","50791  >  1883 [ACK] Seq=30124 Ack=30094 Win=32128 Len=0 TSval=2894196327 TSecr=858881715"
"22301","1359.075444304","192.168.105.71","192.168.105.117","MQTT","83","Publish Message (id=1356) [res]"
"22302","1359.076518944","192.168.105.117","192.168.105.71","MQTT","70","Publish Received (id=1356)"
"22303","1359.077056759","192.168.105.117","192.168.105.183","MQTT","81","Publish Message [res]"
"22304","1359.081231307","192.168.105.71","192.168.105.117","TCP","66","38737  >  1883 [ACK] Seq=27412 Ack=32815 Win=32128 Len=0 TSval=63269167 TSecr=3424931375"
"22305","1359.084924135","192.168.105.183","192.168.105.117","TCP","66","50791  >  1883 [ACK] Seq=30124 Ack=30109 Win=32128 Len=0 TSval=2894196341 TSecr=858881772"
"22306","1359.092767293","192.168.105.71","192.168.105.117","MQTT","70","Publish Release (id=1356)"
"22307","1359.093365420","192.168.105.117","192.168.105.71","MQTT","70","Publish Complete (id=1356)"
"22308","1359.313752690","192.168.105.117","192.168.105.71","TCP","70","[TCP Retransmission] 1883  >  38737 [PSH, ACK] Seq=32815 Ack=27416 Win=31872 Len=4 TSval=3424931613 TSecr=63269178"
"22309","1359.324612318","192.168.105.71","192.168.105.117","TCP","78","38737  >  1883 [ACK] Seq=27416 Ack=32819 Win=32128 Len=0 TSval=63269410 TSecr=3424931613 SLE=32815 SRE=32819"
"22310","1360.018328323","192.168.105.183","192.168.105.117","MQTT","85","Publish Message (id=1357) [topic]"
"22311","1360.019561036","192.168.105.117","192.168.105.183","MQTT","70","Publish Received (id=1357)"
"22312","1360.020161195","192.168.105.117","192.168.105.71","MQTT","83","Publish Message [topic]"
"22313","1360.025403196","192.168.105.183","192.168.105.117","MQTT","70","Publish Release (id=1357)"
"22314","1360.026039917","192.168.105.117","192.168.105.183","MQTT","70","Publish Complete (id=1357)"
"22315","1360.030381133","192.168.105.71","192.168.105.117","TCP","66","38737  >  1883 [ACK] Seq=27416 Ack=32836 Win=32128 Len=0 TSval=63270115 TSecr=3424932319"
"22316","1360.077704976","192.168.105.183","192.168.105.117","TCP","66","50791  >  1883 [ACK] Seq=30147 Ack=30117 Win=32128 Len=0 TSval=2894197331 TSecr=858882721"
"22317","1360.081182021","192.168.105.71","192.168.105.117","MQTT","83","Publish Message (id=1357) [res]"
"22318","1360.082244265","192.168.105.117","192.168.105.71","MQTT","70","Publish Received (id=1357)"
"22319","1360.082726923","192.168.105.117","192.168.105.183","MQTT","81","Publish Message [res]"
"22320","1360.089976849","192.168.105.71","192.168.105.117","TCP","66","38737  >  1883 [ACK] Seq=27433 Ack=32840 Win=32128 Len=0 TSval=63270173 TSecr=3424932381"
"22321","1360.091007374","192.168.105.183","192.168.105.117","TCP","66","50791  >  1883 [ACK] Seq=30147 Ack=30132 Win=32128 Len=0 TSval=2894197350 TSecr=858882778"
"22322","1360.099417878","192.168.105.71","192.168.105.117","MQTT","70","Publish Release (id=1357)"
"22323","1360.100053870","192.168.105.117","192.168.105.71","MQTT","70","Publish Complete (id=1357)"
"22324","1360.154482534","192.168.105.71","192.168.105.117","TCP","66","38737  >  1883 [ACK] Seq=27437 Ack=32844 Win=32128 Len=0 TSval=63270234 TSecr=3424932399"
"22325","1361.022298370","192.168.105.183","192.168.105.117","MQTT","85","Publish Message (id=1358) [topic]"
"22326","1361.023464938","192.168.105.117","192.168.105.183","MQTT","70","Publish Received (id=1358)"
"22327","1361.023958377","192.168.105.117","192.168.105.71","MQTT","83","Publish Message [topic]"
"22328","1361.028159228","192.168.105.183","192.168.105.117","TCP","66","50791  >  1883 [ACK] Seq=30166 Ack=30136 Win=32128 Len=0 TSval=2894198287 TSecr=858883718"
