delay,send_time,receive_time,data_length
0.377,1715857450.585,1715857450.962,1000
0.180,1715857451.588,1715857451.768,1000
0.123,1715857452.592,1715857452.715,1000
0.517,1715857453.596,1715857454.113,1000
0.027,1715857454.599,1715857454.626,1000
0.038,1715857455.603,1715857455.641,1000
0.274,1715857456.607,1715857456.881,1000
0.355,1715857457.610,1715857457.965,1000
0.495,1715857458.614,1715857459.109,1000
0.388,1715857459.618,1715857460.006,1000
0.115,1715857460.621,1715857460.736,1000
0.633,1715857461.625,1715857462.258,1000
0.045,1715857462.629,1715857462.674,1000
0.022,1715857463.632,1715857463.654,1000
0.024,1715857464.636,1715857464.660,1000
2.515,1715857465.640,1715857468.155,1000
1.538,1715857466.643,1715857468.181,1000
0.698,1715857467.647,1715857468.345,1000
0.045,1715857468.650,1715857468.695,1000
0.087,1715857469.654,1715857469.741,1000
1.357,1715857470.658,1715857472.015,1000
0.533,1715857471.662,1715857472.195,1000
0.087,1715857472.665,1715857472.752,1000
0.038,1715857473.669,1715857473.707,1000
0.024,1715857474.672,1715857474.696,1000
0.344,1715857475.676,1715857476.020,1000
0.901,1715857476.680,1715857477.581,1000
0.021,1715857477.683,1715857477.704,1000
0.036,1715857478.687,1715857478.723,1000
0.019,1715857479.690,1715857479.709,1000
0.662,1715857480.694,1715857481.356,1000
0.091,1715857481.698,1715857481.789,1000
0.020,1715857482.702,1715857482.722,1000
0.037,1715857483.705,1715857483.742,1000
0.015,1715857484.709,1715857484.724,1000
0.378,1715857485.712,1715857486.090,1000
0.023,1715857486.716,1715857486.739,1000
0.290,1715857487.720,1715857488.010,1000
0.024,1715857488.723,1715857488.747,1000
0.015,1715857489.727,1715857489.742,1000
0.018,1715857490.731,1715857490.749,1000
0.016,1715857491.734,1715857491.750,1000
0.026,1715857492.738,1715857492.764,1000
0.021,1715857493.742,1715857493.763,1000
0.031,1715857494.746,1715857494.777,1000
0.022,1715857495.749,1715857495.771,1000
0.267,1715857496.753,1715857497.020,1000
0.024,1715857497.756,1715857497.780,1000
0.025,1715857498.760,1715857498.785,1000
0.024,1715857499.764,1715857499.788,1000
0.021,1715857500.768,1715857500.789,1000
0.265,1715857501.771,1715857502.036,1000
0.013,1715857502.775,1715857502.788,1000
0.025,1715857503.779,1715857503.804,1000
0.017,1715857504.782,1715857504.799,1000
0.259,1715857505.786,1715857506.045,1000
0.018,1715857506.790,1715857506.808,1000
0.041,1715857507.793,1715857507.834,1000
0.022,1715857508.797,1715857508.819,1000
0.024,1715857509.801,1715857509.825,1000
0.249,1715857510.804,1715857511.053,1000
0.328,1715857511.808,1715857512.136,1000
0.026,1715857512.812,1715857512.838,1000
0.430,1715857513.815,1715857514.245,1000
0.124,1715857514.819,1715857514.943,1000
0.141,1715857515.823,1715857515.964,1000
0.022,1715857516.827,1715857516.849,1000
6.684,1715857517.830,1715857524.514,1000
5.718,1715857518.834,1715857524.552,1000
4.764,1715857519.837,1715857524.601,1000
3.782,1715857520.841,1715857524.623,1000
2.805,1715857521.845,1715857524.650,1000
2.050,1715857522.848,1715857524.898,1000
1.215,1715857523.852,1715857525.067,1000
0.234,1715857524.855,1715857525.089,1000
0.025,1715857525.859,1715857525.884,1000
0.177,1715857526.862,1715857527.039,1000
0.193,1715857527.866,1715857528.059,1000
0.444,1715857528.870,1715857529.314,1000
0.913,1715857529.874,1715857530.787,1000
0.432,1715857530.877,1715857531.309,1000
0.026,1715857531.881,1715857531.907,1000
0.025,1715857532.885,1715857532.910,1000
0.431,1715857533.888,1715857534.319,1000
0.596,1715857534.892,1715857535.488,1000
0.142,1715857535.896,1715857536.038,1000
0.394,1715857536.899,1715857537.293,1000
1.096,1715857537.903,1715857538.999,1000
0.120,1715857538.906,1715857539.026,1000
0.871,1715857539.910,1715857540.781,1000
0.304,1715857540.914,1715857541.218,1000
0.517,1715857541.917,1715857542.434,1000
0.494,1715857542.921,1715857543.415,1000
0.310,1715857543.925,1715857544.235,1000
0.023,1715857544.928,1715857544.951,1000
0.018,1715857545.932,1715857545.950,1000
0.385,1715857546.936,1715857547.321,1000
0.020,1715857547.939,1715857547.959,1000
0.019,1715857548.943,1715857548.962,1000
0.154,1715857549.947,1715857550.101,1000
0.020,1715857550.950,1715857550.970,1000
0.102,1715857551.954,1715857552.056,1000
0.311,1715857552.958,1715857553.269,1000
0.221,1715857553.961,1715857554.182,1000
0.455,1715857554.965,1715857555.420,1000
0.019,1715857555.969,1715857555.988,1000
0.226,1715857556.972,1715857557.198,1000
0.018,1715857557.976,1715857557.994,1000
0.037,1715857558.980,1715857559.017,1000
0.318,1715857559.983,1715857560.301,1000
0.369,1715857560.987,1715857561.356,1000
0.022,1715857561.990,1715857562.012,1000
0.020,1715857562.994,1715857563.014,1000
0.016,1715857563.998,1715857564.014,1000
0.120,1715857565.001,1715857565.121,1000
0.034,1715857566.005,1715857566.039,1000
0.047,1715857567.009,1715857567.056,1000
0.101,1715857568.012,1715857568.113,1000
0.095,1715857569.016,1715857569.111,1000
0.187,1715857570.020,1715857570.207,1000
0.172,1715857571.023,1715857571.195,1000
0.018,1715857572.027,1715857572.045,1000
0.024,1715857573.031,1715857573.055,1000
0.111,1715857574.034,1715857574.145,1000
0.579,1715857575.038,1715857575.617,1000
0.418,1715857576.042,1715857576.460,1000
0.024,1715857577.045,1715857577.069,1000
0.035,1715857578.049,1715857578.084,1000
0.026,1715857579.053,1715857579.079,1000
0.276,1715857580.057,1715857580.333,1000
0.293,1715857581.060,1715857581.353,1000
0.017,1715857582.064,1715857582.081,1000
0.040,1715857583.067,1715857583.107,1000
0.648,1715857584.071,1715857584.719,1000
0.017,1715857585.075,1715857585.092,1000
0.018,1715857586.078,1715857586.096,1000
0.019,1715857587.082,1715857587.101,1000
0.021,1715857588.086,1715857588.107,1000
0.251,1715857589.089,1715857589.340,1000
0.024,1715857590.093,1715857590.117,1000
0.030,1715857591.097,1715857591.127,1000
0.018,1715857592.100,1715857592.118,1000
0.018,1715857593.104,1715857593.122,1000
0.015,1715857594.108,1715857594.123,1000
0.021,1715857595.111,1715857595.132,1000
0.020,1715857596.115,1715857596.135,1000
0.016,1715857597.119,1715857597.135,1000
0.019,1715857598.122,1715857598.141,1000
0.021,1715857599.126,1715857599.147,1000
0.020,1715857600.129,1715857600.149,1000
0.016,1715857601.133,1715857601.149,1000
0.466,1715857602.137,1715857602.603,1000
0.713,1715857603.141,1715857603.854,1000
0.017,1715857604.144,1715857604.161,1000
0.020,1715857605.148,1715857605.168,1000
0.240,1715857606.152,1715857606.392,1000
0.019,1715857607.155,1715857607.174,1000
0.681,1715857608.159,1715857608.840,1000
0.673,1715857609.163,1715857609.836,1000
0.234,1715857610.166,1715857610.400,1000
0.016,1715857611.170,1715857611.186,1000
0.015,1715857612.174,1715857612.189,1000
0.016,1715857613.177,1715857613.193,1000
0.018,1715857614.181,1715857614.199,1000
0.022,1715857615.185,1715857615.207,1000
0.017,1715857616.188,1715857616.205,1000
0.017,1715857617.192,1715857617.209,1000
0.017,1715857618.196,1715857618.213,1000
0.021,1715857619.199,1715857619.220,1000
0.017,1715857620.203,1715857620.220,1000
0.023,1715857621.207,1715857621.230,1000
0.236,1715857622.210,1715857622.446,1000
0.017,1715857623.214,1715857623.231,1000
0.020,1715857624.218,1715857624.238,1000
0.022,1715857625.221,1715857625.243,1000
0.016,1715857626.225,1715857626.241,1000
0.027,1715857627.229,1715857627.256,1000
0.017,1715857628.232,1715857628.249,1000
0.015,1715857629.236,1715857629.251,1000
0.017,1715857630.239,1715857630.256,1000
0.016,1715857631.243,1715857631.259,1000
0.017,1715857632.247,1715857632.264,1000
0.017,1715857633.250,1715857633.267,1000
0.018,1715857634.254,1715857634.272,1000
