sender_id,sequence,rtt,send_time,ack_time
1,395,0.001,1717676697.968,1717676697.969
1,396,0.001,1717676698.970,1717676698.971
1,397,0.001,1717676699.972,1717676699.973
1,398,0.001,1717676700.975,1717676700.975
1,399,0.001,1717676701.977,1717676701.977
1,400,0.001,1717676702.979,1717676702.980
1,401,0.001,1717676703.981,1717676703.982
1,402,0.001,1717676704.983,1717676704.984
1,403,0.001,1717676705.985,1717676705.986
1,404,0.001,1717676706.987,1717676706.988
1,405,0.001,1717676707.989,1717676707.990
1,406,0.001,1717676708.991,1717676708.992
1,407,0.001,1717676709.994,1717676709.994
1,408,0.001,1717676710.996,1717676710.996
1,409,0.001,1717676711.998,1717676711.999
1,410,0.001,1717676713.000,1717676713.001
1,411,0.001,1717676714.003,1717676714.003
1,412,0.001,1717676715.005,1717676715.005
1,413,0.001,1717676716.007,1717676716.008
1,414,0.001,1717676717.009,1717676717.010
1,415,0.001,1717676718.011,1717676718.012
1,416,0.001,1717676719.014,1717676719.014
1,417,0.001,1717676720.016,1717676720.017
1,418,0.001,1717676721.018,1717676721.019
1,419,0.001,1717676722.020,1717676722.021
1,420,0.001,1717676723.023,1717676723.024
1,421,0.001,1717676724.025,1717676724.026
1,422,0.001,1717676725.027,1717676725.028
1,423,0.001,1717676726.030,1717676726.031
1,424,0.001,1717676727.032,1717676727.033
1,425,0.001,1717676728.034,1717676728.034
1,426,0.001,1717676729.036,1717676729.037
1,427,0.001,1717676730.039,1717676730.039
1,428,0.001,1717676731.041,1717676731.042
1,429,0.001,1717676732.043,1717676732.044
1,430,0.001,1717676733.045,1717676733.046
1,431,0.001,1717676734.048,1717676734.049
1,432,0.001,1717676735.050,1717676735.051
1,433,0.001,1717676736.052,1717676736.053
1,434,0.001,1717676737.055,1717676737.056
1,435,0.001,1717676738.057,1717676738.058
1,436,0.001,1717676739.059,1717676739.060
1,437,0.001,1717676740.062,1717676740.062
1,438,0.001,1717676741.064,1717676741.064
1,439,0.001,1717676742.066,1717676742.067
1,440,0.001,1717676743.068,1717676743.069
1,441,0.001,1717676744.071,1717676744.071
1,442,0.001,1717676745.073,1717676745.074
1,443,0.001,1717676746.075,1717676746.076
1,444,0.001,1717676747.077,1717676747.078
1,445,0.001,1717676748.079,1717676748.080
1,446,0.001,1717676749.082,1717676749.083
1,447,0.001,1717676750.084,1717676750.085
1,448,0.001,1717676751.086,1717676751.087
1,449,0.001,1717676752.088,1717676752.089
1,450,0.001,1717676753.091,1717676753.092
1,451,0.001,1717676754.093,1717676754.094
1,452,0.001,1717676755.095,1717676755.096
1,453,0.001,1717676756.098,1717676756.098
1,454,0.001,1717676757.100,1717676757.101
1,455,0.001,1717676758.102,1717676758.103
1,456,0.001,1717676759.104,1717676759.105
1,457,0.001,1717676760.107,1717676760.107
1,458,0.001,1717676761.109,1717676761.110
1,459,0.001,1717676762.111,1717676762.112
1,460,0.001,1717676763.114,1717676763.114
1,461,0.001,1717676764.116,1717676764.116
1,462,0.001,1717676765.118,1717676765.119
1,463,0.001,1717676766.120,1717676766.121
1,464,0.001,1717676767.123,1717676767.124
1,465,0.001,1717676768.125,1717676768.126
1,466,0.001,1717676769.127,1717676769.128
1,467,0.001,1717676770.130,1717676770.131
1,468,0.001,1717676771.132,1717676771.133
1,469,0.001,1717676772.134,1717676772.135
1,470,0.001,1717676773.137,1717676773.138
1,471,0.001,1717676774.139,1717676774.140
1,472,0.001,1717676775.141,1717676775.142
1,473,0.001,1717676776.143,1717676776.144
1,474,0.001,1717676777.146,1717676777.146
1,475,0.001,1717676778.148,1717676778.149
1,476,0.001,1717676779.150,1717676779.151
1,477,0.001,1717676780.152,1717676780.153
1,478,0.001,1717676781.155,1717676781.155
1,479,0.001,1717676782.157,1717676782.158
1,480,0.001,1717676783.159,1717676783.160
1,481,0.001,1717676784.161,1717676784.162
1,482,0.001,1717676785.163,1717676785.164
1,483,0.001,1717676786.166,1717676786.167
1,484,0.001,1717676787.168,1717676787.169
1,485,0.001,1717676788.170,1717676788.171
1,486,0.001,1717676789.173,1717676789.174
1,487,0.001,1717676790.175,1717676790.176
1,488,0.001,1717676791.177,1717676791.178
1,489,0.001,1717676792.179,1717676792.180
1,490,0.001,1717676793.182,1717676793.182
1,491,0.001,1717676794.184,1717676794.185
1,492,0.001,1717676795.186,1717676795.187
1,493,0.001,1717676796.188,1717676796.189
1,494,0.001,1717676797.191,1717676797.191
1,495,0.001,1717676798.193,1717676798.193
1,496,0.001,1717676799.195,1717676799.196
1,497,0.001,1717676800.197,1717676800.198
1,498,0.001,1717676801.199,1717676801.200
1,499,0.001,1717676802.202,1717676802.203
1,500,0.001,1717676803.204,1717676803.205
1,501,0.001,1717676804.206,1717676804.207
1,502,0.001,1717676805.209,1717676805.210
1,503,0.001,1717676806.211,1717676806.212
1,504,0.001,1717676807.213,1717676807.214
1,505,0.001,1717676808.216,1717676808.217
1,506,0.001,1717676809.218,1717676809.219
1,507,0.001,1717676810.220,1717676810.220
1,508,0.001,1717676811.222,1717676811.222
1,509,0.001,1717676812.223,1717676812.224
1,510,0.001,1717676813.225,1717676813.226
1,511,0.001,1717676814.227,1717676814.228
1,512,0.001,1717676815.229,1717676815.230
1,513,0.001,1717676816.231,1717676816.232
1,514,0.001,1717676817.234,1717676817.235
1,515,0.001,1717676818.236,1717676818.237
1,516,0.001,1717676819.238,1717676819.239
1,517,0.001,1717676820.241,1717676820.242
1,518,0.001,1717676821.243,1717676821.244
1,519,0.001,1717676822.246,1717676822.247
1,520,0.001,1717676823.248,1717676823.249
1,521,0.001,1717676824.250,1717676824.251
1,522,0.001,1717676825.252,1717676825.253
1,523,0.001,1717676826.254,1717676826.255
1,524,0.001,1717676827.256,1717676827.257
